eco_code,Annual crops,Permanent crops,Pasture,Urban,Extensive forestry,Intensive forestry
AT0118,2.14760886651711E-12,1.46646999938952E-12,1.61415285609169E-12,3.00620279022232E-12,3.22031031892829E-13,1.20587617983187E-12
AT0119,1.52384946997743E-11,1.1032368959148E-11,9.92342994648875E-12,2.22136778348152E-11,2.99127188609943E-12,9.31187448981602E-12
AT0120,1.83208144621476E-11,1.45599602904149E-11,NaN,2.24123244483226E-11,3.42373343002972E-12,1.23611389036591E-11
AT0121,4.27046188741771E-10,3.10346778549958E-10,1.93352954309172E-10,5.92625534160095E-10,1.11435088494138E-10,2.93336103414385E-10
AT0122,2.6354166075237E-11,1.95842941268072E-11,1.22648085225601E-11,3.62825654729542E-11,6.32425976022385E-12,1.70627971059133E-11
AT0123,8.51396081468068E-12,6.41804258964974E-12,4.14087566643988E-12,1.09109450685072E-11,1.82632641889641E-12,5.4502749767651E-12
AT0124,1.58360011253559E-12,1.12322485270393E-12,6.71515022792789E-13,2.15343727110928E-12,2.52044156240572E-13,1.26301118564237E-12
AT0125,4.90308636690965E-12,3.45207017854403E-12,3.19649238059225E-12,7.32337368123481E-12,1.00648966373753E-12,2.74750479345303E-12
AT0126,1.40475092584611E-12,9.56302710566477E-13,7.08293082878815E-13,2.09289208923776E-12,4.02844793209122E-13,9.1071912665441E-13
AT0127,6.06803703694975E-11,5.43270231695532E-11,3.9362141559286E-11,9.26733124115914E-11,1.11361666256184E-11,NaN
AT0128,3.22784913702079E-12,2.46926461288757E-12,2.16981453325113E-12,5.10170287570587E-12,7.2911817816168E-13,2.00391474661395E-12
AT0129,2.73127698191005E-12,1.94583733374909E-12,1.43831190562381E-12,4.04903970528407E-12,5.05818623486628E-13,2.24882516931305E-12
AT0130,2.87032459147553E-12,2.07340502400556E-12,1.68583939307665E-12,3.87868994571311E-12,5.3583914414108E-13,1.72184596441362E-12
AT0201,1.15090466385997E-11,1.1545084756005E-11,4.88020719854001E-12,1.89366877464095E-11,NaN,9.31217732688725E-12
AT0202,1.52340261248035E-12,1.20478197367096E-12,1.22837026962208E-12,2.48793950121517E-12,1.92584999305219E-13,5.72074605728478E-13
AT0203,6.03187918095403E-12,6.13220360912052E-12,5.62162905013332E-12,1.32151203037723E-11,1.35983018850009E-12,2.98652996539323E-12
AT0701,1.07820854400816E-13,1.00435051130576E-13,9.02185660735464E-14,2.37182676885228E-13,3.00510444352199E-14,4.68279105820907E-14
AT0702,5.82808113844438E-13,4.60365065522593E-13,4.74678488770738E-13,1.05079130861768E-12,6.66398005873661E-14,1.90731436620945E-13
AT0703,NaN,NaN,2.64795341526983E-11,NaN,NaN,NaN
AT0704,8.34468288835021E-14,7.49548231698609E-14,5.37906335199146E-14,1.57480977829299E-13,1.40096379939224E-14,4.68862436472122E-14
AT0705,9.45368299904867E-14,8.21911000865072E-14,7.40266470421796E-14,1.7806599469504E-13,1.84716920280453E-14,3.40731278884132E-14
AT0706,1.42876656286341E-13,1.30787573152671E-13,1.07909403116416E-13,2.82349150053153E-13,2.84950150843007E-14,5.71312639479929E-14
AT0707,1.4390566090212E-13,1.12830947289917E-13,9.36381249182665E-14,2.4868833232431E-13,2.45846868387495E-14,5.15690087423182E-14
AT0708,6.41340074090236E-12,5.45521627208301E-12,4.5514950577498E-12,NaN,9.74498402840608E-13,2.48470092521741E-12
AT0709,9.70125853753233E-14,9.11154176735843E-14,9.2885060645328E-14,2.03095426186434E-13,1.31998009056308E-14,4.18386807497012E-14
